Epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0,0.8778449296951294,0.2969520390033722,0.8732537627220154,0.8840318918228149,0.9381752610206604,0.15014557540416718,0.929411768913269,0.9483793377876282,0.0010000000474974513
1,0.9351935386657715,0.1770470291376114,0.9354257583618164,0.9349446892738342,0.953181266784668,0.12001457810401917,0.9748427867889404,0.9303721785545349,0.0010000000474974513
2,0.9443230032920837,0.1443653553724289,0.9419437050819397,0.9470300674438477,0.9681872725486755,0.09016186743974686,0.9588235020637512,0.9783913493156433,0.0010000000474974513
3,0.9555098414421082,0.12315007299184799,0.9543472528457642,0.9568012356758118,0.9675870537757874,0.09408268332481384,0.9576968550682068,0.9783913493156433,0.0010000000474974513
4,0.9551240801811218,0.12162810564041138,0.9533811211585999,0.9570583701133728,0.9597839117050171,0.09880676120519638,0.9636803865432739,0.9555822610855103,0.0010000000474974513
5,0.9592387676239014,0.11114643514156342,0.9584189057350159,0.9601439833641052,0.9663865566253662,0.08021983504295349,0.9641577005386353,0.9687874913215637,0.0010000000474974513
6,0.9570528268814087,0.11109083145856857,0.9561200737953186,0.9580869078636169,0.9723889827728271,0.07253917306661606,0.9712575078010559,0.9735894203186035,0.0010000000474974513
7,0.9642535448074341,0.09726264327764511,0.9625928997993469,0.9660581350326538,0.9603841304779053,0.08419536054134369,0.9682539701461792,0.9519807696342468,0.0010000000474974513
8,0.9648965001106262,0.09493033587932587,0.9624040722846985,0.96760094165802,0.9681872725486755,0.07983342558145523,0.9733009934425354,0.9627851247787476,0.0010000000474974513
9,0.9669538140296936,0.09120047092437744,0.9651639461517334,0.9688866138458252,0.9747899174690247,0.06871049106121063,0.9604191184043884,0.9903961420059204,0.0010000000474974513
10,0.9663109183311462,0.08784303069114685,0.9634551405906677,0.9694008827209473,0.9717887043952942,0.08107786625623703,0.9678571224212646,0.9759904146194458,0.0010000000474974513
11,0.9695255160331726,0.08484906703233719,0.966292142868042,0.9730007648468018,0.9747899174690247,0.06651797890663147,0.9658421874046326,0.9843937754631042,0.0010000000474974513
12,0.9674682021141052,0.08432618528604507,0.9668720960617065,0.9681152105331421,0.9687874913215637,0.0640215277671814,0.9621301889419556,0.9759904146194458,0.0010000000474974513
13,0.9670824408531189,0.0857434794306755,0.9642218351364136,0.9701722860336304,0.970588207244873,0.06659560650587082,0.9644549489021301,0.9771908521652222,0.0010000000474974513
14,0.9701684713363647,0.07807955145835876,0.9692071080207825,0.9712008237838745,0.9759904146194458,0.06264771521091461,0.9681227803230286,0.9843937754631042,0.0010000000474974513
15,0.9699112772941589,0.07848382741212845,0.9684696197509766,0.9714579582214355,0.9777911305427551,0.05903088301420212,0.971563994884491,0.9843937754631042,0.0010000000474974513
16,0.9720972180366516,0.07488229125738144,0.9717369079589844,0.9724864959716797,0.9783913493156433,0.05762628838419914,0.9715976119041443,0.9855942130088806,0.0010000000474974513
17,0.9728687405586243,0.0761156976222992,0.9700919985771179,0.9758292436599731,0.9729892015457153,0.059369057416915894,0.9646226167678833,0.981992781162262,0.0010000000474974513
18,0.9736402034759521,0.0714116245508194,0.9718237519264221,0.9755721092224121,0.9753901362419128,0.05961672216653824,0.970308780670166,0.9807923436164856,0.0010000000474974513
19,0.973897397518158,0.06755224615335464,0.9715967178344727,0.9763435125350952,0.9783913493156433,0.05589769780635834,0.9727165102958679,0.9843937754631042,0.0010000000474974513
